Bach, Johann Sebastian | Magnificat in D major BWV 243 - 1/12 Magnificat anima mea
Bach, Johann Sebastian | Magnificat in D major BWV 243 - 2/12 Et exsultavit spiritus meus
Bach, Johann Sebastian | Magnificat in D major BWV 243 - 3/12 Quia respexit humilitatem
Bach, Johann Sebastian | Magnificat in D major BWV 243 - 4/12 Omnes generationes
Bach, Johann Sebastian | Magnificat in D major BWV 243 - 5/12 Quia fecit mihi magna
Bach, Johann Sebastian | Magnificat in D major BWV 243 - 6/12 Et misericordia
Bach, Johann Sebastian | Magnificat in D major BWV 243 - 7/12 Fecit potentiam
Bach, Johann Sebastian | Magnificat in D major BWV 243 - 8/12 Deposuit potentes
Bach, Johann Sebastian | Magnificat in D major BWV 243 - 9/12 Esurientes implevit bonis
Bach, Johann Sebastian | Magnificat in D major BWV 243 - 10/12 Suscepit Israel
Bach, Johann Sebastian | Magnificat in D major BWV 243 - 11/12 Sicut locutus est
Bach, Johann Sebastian | Magnificat in D major BWV 243 - 12/12 Gloria Patri
