Beethoven, Ludwig van | 11 Bagatelles Op 119 - 1/11 Allegretto
Beethoven, Ludwig van | 11 Bagatelles Op 119 - 2/11 Andante con moto
Beethoven, Ludwig van | 11 Bagatelles Op 119 - 3/11 À l'Allemande
Beethoven, Ludwig van | 11 Bagatelles Op 119 - 4/11 Andante cantabile
Beethoven, Ludwig van | 11 Bagatelles Op 119 - 5/11 Risoluto
Beethoven, Ludwig van | 11 Bagatelles Op 119 - 6/11 Andante
Beethoven, Ludwig van | 11 Bagatelles Op 119 - 7/11 Allegro ma non troppo
Beethoven, Ludwig van | 11 Bagatelles Op 119 - 8/11 Moderato cantabile
Beethoven, Ludwig van | 11 Bagatelles Op 119 - 9/11 Vivace moderato
Beethoven, Ludwig van | 11 Bagatelles Op 119 - 10/11 Allegramente
Beethoven, Ludwig van | 11 Bagatelles Op 119 - 11/11 Andante ma non troppo
