Liszt, Franz | Hungarian Rhapsodies S 244 - 1/19 No 1 in F minor
Liszt, Franz | Hungarian Rhapsodies S 244 - 2/19 No 2 in C# minor
Liszt, Franz | Hungarian Rhapsodies S 244 - 3/19 No 3 in Bb major
Liszt, Franz | Hungarian Rhapsodies S 244 - 4/19 No 4 in Eb major
Liszt, Franz | Hungarian Rhapsodies S 244 - 5/19 No 5 in E minor
Liszt, Franz | Hungarian Rhapsodies S 244 - 6/19 No 6 in Db major
Liszt, Franz | Hungarian Rhapsodies S 244 - 7/19 No 7 in D minor
Liszt, Franz | Hungarian Rhapsodies S 244 - 8/19 No 8 in F# minor
Liszt, Franz | Hungarian Rhapsodies S 244 - 9/19 No 9 in Eb major 'Carnival in Pest'
Liszt, Franz | Hungarian Rhapsodies S 244 - 10/19 No 10 in E major
Liszt, Franz | Hungarian Rhapsodies S 244 - 11/19 No 11 in A minor
Liszt, Franz | Hungarian Rhapsodies S 244 - 12/19 No 12 in C# minor
Liszt, Franz | Hungarian Rhapsodies S 244 - 13/19 No 13 in A minor
Liszt, Franz | Hungarian Rhapsodies S 244 - 14/19 No 14 in F minor
Liszt, Franz | Hungarian Rhapsodies S 244 - 15/19 No 15 in A minor 'Rakoczy March'
Liszt, Franz | Hungarian Rhapsodies S 244 - 16/19 No 16 in A minor
Liszt, Franz | Hungarian Rhapsodies S 244 - 17/19 No 17 in D minor
Liszt, Franz | Hungarian Rhapsodies S 244 - 18/19 No 18 in F# minor
Liszt, Franz | Hungarian Rhapsodies S 244 - 19/19 No 19 in D minor
