Mendelssohn, Fanny | Das Jahr - 1/12 Januar
Mendelssohn, Fanny | Das Jahr - 2/12 Februar
Mendelssohn, Fanny | Das Jahr - 3/12 März
Mendelssohn, Fanny | Das Jahr - 4/12 April
Mendelssohn, Fanny | Das Jahr - 5/12 Mai
Mendelssohn, Fanny | Das Jahr - 6/12 Juni
Mendelssohn, Fanny | Das Jahr - 7/12 Juli
Mendelssohn, Fanny | Das Jahr - 8/12 August
Mendelssohn, Fanny | Das Jahr - 9/12 September
Mendelssohn, Fanny | Das Jahr - 10/12 Oktober
Mendelssohn, Fanny | Das Jahr - 11/12 November
Mendelssohn, Fanny | Das Jahr - 12/12 Dezember
