Schubert, Franz | Die schöne Müllerin D 795 - 1/20 Das Wandern
Schubert, Franz | Die schöne Müllerin D 795 - 2/20 Wohin
Schubert, Franz | Die schöne Müllerin D 795 - 3/20 Halt
Schubert, Franz | Die schöne Müllerin D 795 - 4/20 Danksagung an den Bach
Schubert, Franz | Die schöne Müllerin D 795 - 5/20 Am Feierabend
Schubert, Franz | Die schöne Müllerin D 795 - 6/20 Der Neugierige
Schubert, Franz | Die schöne Müllerin D 795 - 7/20 Ungeduld
Schubert, Franz | Die schöne Müllerin D 795 - 8/20 Morgengruß
Schubert, Franz | Die schöne Müllerin D 795 - 9/20 Des Müllers Blumen
Schubert, Franz | Die schöne Müllerin D 795 - 10/20 Tränenregen
Schubert, Franz | Die schöne Müllerin D 795 - 11/20 Mein
Schubert, Franz | Die schöne Müllerin D 795 - 12/20 Pause
Schubert, Franz | Die schöne Müllerin D 795 - 13/20 Mit dem grünen Lautenbande
Schubert, Franz | Die schöne Müllerin D 795 - 14/20 Der Jäger
Schubert, Franz | Die schöne Müllerin D 795 - 15/20 Eifersucht und Stolz
Schubert, Franz | Die schöne Müllerin D 795 - 16/20 Die liebe Farbe
Schubert, Franz | Die schöne Müllerin D 795 - 17/20 Die böse Farbe
Schubert, Franz | Die schöne Müllerin D 795 - 18/20 Trockne Blumen
Schubert, Franz | Die schöne Müllerin D 795 - 19/20 Der Müller und der Bach
Schubert, Franz | Die schöne Müllerin D 795 - 20/20 Des Baches Wiegenlied
