Schubert, Franz | Schwanengesang D 957 - 1/14 Liebesbotschaft
Schubert, Franz | Schwanengesang D 957 - 2/14 Kriegers Ahnung
Schubert, Franz | Schwanengesang D 957 - 3/14 Frühlingssehnsucht
Schubert, Franz | Schwanengesang D 957 - 4/14 Ständchen
Schubert, Franz | Schwanengesang D 957 - 5/14 Aufenthalt
Schubert, Franz | Schwanengesang D 957 - 6/14 In der Ferne
Schubert, Franz | Schwanengesang D 957 - 7/14 Abschied
Schubert, Franz | Schwanengesang D 957 - 8/14 Der Atlas
Schubert, Franz | Schwanengesang D 957 - 9/14 Ihr Bild
Schubert, Franz | Schwanengesang D 957 - 10/14 Das Fischermädchen
Schubert, Franz | Schwanengesang D 957 - 11/14 Die Stadt
Schubert, Franz | Schwanengesang D 957 - 12/14 Am Meer
Schubert, Franz | Schwanengesang D 957 - 13/14 Der Doppelgänger
Schubert, Franz | Schwanengesang D 957 - 14/14 Die Taubenpost
