Schubert, Franz | Winterreise D 911 - 1/24 Gute Nacht
Schubert, Franz | Winterreise D 911 - 2/24 Die Wetterfahne
Schubert, Franz | Winterreise D 911 - 3/24 Gefrorene Tränen
Schubert, Franz | Winterreise D 911 - 4/24 Erstarrung
Schubert, Franz | Winterreise D 911 - 5/24 Der Lindenbaum
Schubert, Franz | Winterreise D 911 - 6/24 Wasserflut
Schubert, Franz | Winterreise D 911 - 7/24 Auf dem Flusse
Schubert, Franz | Winterreise D 911 - 8/24 Rückblick
Schubert, Franz | Winterreise D 911 - 9/24 Irrlicht
Schubert, Franz | Winterreise D 911 - 10/24 Rast
Schubert, Franz | Winterreise D 911 - 11/24 Frühlingstraum
Schubert, Franz | Winterreise D 911 - 12/24 Einsamkeit
Schubert, Franz | Winterreise D 911 - 13/24 Die Post
Schubert, Franz | Winterreise D 911 - 14/24 Der greise Kopf
Schubert, Franz | Winterreise D 911 - 15/24 Die Krähe
Schubert, Franz | Winterreise D 911 - 16/24 Letzte Hoffnung
Schubert, Franz | Winterreise D 911 - 17/24 Im Dorfe
Schubert, Franz | Winterreise D 911 - 18/24 Der stürmische Morgen
Schubert, Franz | Winterreise D 911 - 19/24 Täuschung
Schubert, Franz | Winterreise D 911 - 20/24 Der Wegweiser
Schubert, Franz | Winterreise D 911 - 21/24 Das Wirtshaus
Schubert, Franz | Winterreise D 911 - 22/24 Mut
Schubert, Franz | Winterreise D 911 - 23/24 Die Nebensonnen
Schubert, Franz | Winterreise D 911 - 24/24 Der Leiermann
