Schumann, Robert | Dichterliebe Op 48 - 1/16 Im wunderschönen Monat Mai
Schumann, Robert | Dichterliebe Op 48 - 2/16 Aus meinen Tränen sprießen
Schumann, Robert | Dichterliebe Op 48 - 3/16 Die Rose die Lilie die Taube die Sonne
Schumann, Robert | Dichterliebe Op 48 - 4/16 Wenn ich in deine Augen seh
Schumann, Robert | Dichterliebe Op 48 - 5/16 Ich will meine Seele tauchen
Schumann, Robert | Dichterliebe Op 48 - 6/16 Im Rhein im heiligen Strome
Schumann, Robert | Dichterliebe Op 48 - 7/16 Ich grolle nicht
Schumann, Robert | Dichterliebe Op 48 - 8/16 Und wüßten's die Blumen die kleinen
Schumann, Robert | Dichterliebe Op 48 - 9/16 Das ist ein Flöten und Geigen
Schumann, Robert | Dichterliebe Op 48 - 10/16 Hör ich das Liedchen klingen
Schumann, Robert | Dichterliebe Op 48 - 11/16 Ein Jüngling liebt ein Mädchen
Schumann, Robert | Dichterliebe Op 48 - 12/16 Am leuchtenden Sommermorgen
Schumann, Robert | Dichterliebe Op 48 - 13/16 Ich hab im Traum geweinet
Schumann, Robert | Dichterliebe Op 48 - 14/16 Allnächtlich im Traume
Schumann, Robert | Dichterliebe Op 48 - 15/16 Aus alten Märchen winkt es
Schumann, Robert | Dichterliebe Op 48 - 16/16 Die alten bösen Lieder
