Schumann, Robert | Liederkreis Op 39 - 1/12 In der Fremde
Schumann, Robert | Liederkreis Op 39 - 2/12 Intermezzo
Schumann, Robert | Liederkreis Op 39 - 3/12 Waldesgespräch
Schumann, Robert | Liederkreis Op 39 - 4/12 Die Stille
Schumann, Robert | Liederkreis Op 39 - 5/12 Mondnacht
Schumann, Robert | Liederkreis Op 39 - 6/12 Schöne Fremde
Schumann, Robert | Liederkreis Op 39 - 7/12 Auf einer Burg
Schumann, Robert | Liederkreis Op 39 - 8/12 In der Fremde
Schumann, Robert | Liederkreis Op 39 - 9/12 Wehmut
Schumann, Robert | Liederkreis Op 39 - 10/12 Zwielicht
Schumann, Robert | Liederkreis Op 39 - 11/12 Im Walde
Schumann, Robert | Liederkreis Op 39 - 12/12 Frühlingsnacht
