Shostakovich, Dmitri | Symphony No 14 Op 135 - 1/11 De profundis
Shostakovich, Dmitri | Symphony No 14 Op 135 - 2/11 Malagueña
Shostakovich, Dmitri | Symphony No 14 Op 135 - 3/11 Loreley
Shostakovich, Dmitri | Symphony No 14 Op 135 - 4/11 The Suicide
Shostakovich, Dmitri | Symphony No 14 Op 135 - 5/11 On Watch
Shostakovich, Dmitri | Symphony No 14 Op 135 - 6/11 Madam Look
Shostakovich, Dmitri | Symphony No 14 Op 135 - 7/11 In the Santé Prison
Shostakovich, Dmitri | Symphony No 14 Op 135 - 8/11 The Zaporozhian Cossacks' Answer to the Sultan of Constantinople
Shostakovich, Dmitri | Symphony No 14 Op 135 - 9/11 O Delvig Delvig
Shostakovich, Dmitri | Symphony No 14 Op 135 - 10/11 The Death of the Poet
Shostakovich, Dmitri | Symphony No 14 Op 135 - 11/11 Conclusion
