Strauss, Richard | Don Quixote Op 35 - 1/14 Introduction
Strauss, Richard | Don Quixote Op 35 - 2/14 Don Quixote
Strauss, Richard | Don Quixote Op 35 - 3/14 Sancho Panza
Strauss, Richard | Don Quixote Op 35 - 4/14 Variation 1
Strauss, Richard | Don Quixote Op 35 - 5/14 Variation 2
Strauss, Richard | Don Quixote Op 35 - 6/14 Variation 3
Strauss, Richard | Don Quixote Op 35 - 7/14 Variation 4
Strauss, Richard | Don Quixote Op 35 - 8/14 Variation 5
Strauss, Richard | Don Quixote Op 35 - 9/14 Variation 6
Strauss, Richard | Don Quixote Op 35 - 10/14 Variation 7
Strauss, Richard | Don Quixote Op 35 - 11/14 Variation 8
Strauss, Richard | Don Quixote Op 35 - 12/14 Variation 9
Strauss, Richard | Don Quixote Op 35 - 13/14 Variation 10
Strauss, Richard | Don Quixote Op 35 - 14/14 Finale
